start_time,coinbase_premium_index,cpi_7d_ma,cpi_30d_ma,cpi_zscore,sig_cpi,taker_buy_sell_ratio,taker_buy_volume,taker_sell_volume,taker_net_volume,tbsr_7d_ma,tbsr_30d_ma,tbsr_zscore,taker_net_7d_sum,sig_taker,funding_rates,funding_7d_ma,funding_zscore,sig_funding_raw,sig_funding,oi,close,oi_7d_chg,oi_30d_chg,px_7d_chg,px_30d_chg,oi_px_div_7d,oi_px_div_30d,sig_oi_div,sig_cpi_taker_div,composite_sm_score,sm_momentum
2025-06-23T00:00:00.000000+0000,0.08113245,0.03570564,0.041653533,1.405788146107862,1.467859003227312,1.04269147,17076557107.834,16377382613.7926,699174494.041399,0.9797895628571427,0.98775432,1.0286047808248402,-939416802.6390018,1.1904721650755115,-0.0031717033333333333,0.0006513728571428573,-1.5167051205580282,0.7583525602790141,0.9329702141161789,32509618035.713627,105414.93531288,-0.06823007371223028,-0.10108562109682666,-0.013493009209807352,-0.021856761109731865,-0.054737064502422925,-0.0792288599870948,0.0,0.0,0.8779212743544982,0.25800428077781923
2025-06-24T00:00:00.000000+0000,0.05467417,0.03815044142857143,0.04211550733333334,0.9611308329954258,1.1308252967080943,0.9872609,8382161278.9759,8490320327.0425,-108159048.06659985,0.9807050385714285,0.989692356,-0.09026161821065003,-797093679.2598009,-0.12020377494307818,-0.0010291933333333332,-0.000049409285714285544,-1.2002527266108618,0.6001263633054309,0.760042081689649,33502380113.600582,106129.0722677,-0.014385239431461312,-0.0929442509706399,0.013962310467792765,-0.02656388303958377,-0.028347549899254077,-0.06638036793105612,0.0,0.0,0.42320295753010606,-0.04348171904749909
2025-06-25T00:00:00.000000+0000,0.05556147,0.042162472857142856,0.043068086,0.971069251557845,1.139806441402784,1.03910817,9519633940.321,9161350296.8548,358283643.4661999,0.9885807385714286,0.9904947113333333,0.9526040745954012,-280843503.04000187,1.1230660058374509,-0.0013411566666666668,-0.00038125214285714273,-1.2419208065126544,0.6209604032563272,0.7836828084077279,35017803702.37378,107390.79130078,0.044226999819072084,-0.06745778679078367,0.023635280182844883,-0.01890383174677364,0.0205917196362272,-0.04855395504401003,1.0,0.0,0.9402608551413572,0.8365076223056618
2025-06-26T00:00:00.000000+0000,0.07721577,0.05137650571428571,0.04440913566666667,1.3228004854747206,1.4147067935471664,0.98576335,6807531855.4135,6905847966.9377,-98316111.52420044,0.99221317,0.9913581629999999,-0.12161005663992407,-177917656.2092018,-0.1617924160883689,-0.0016506283333333333,-0.0005781085714285713,-1.2808228469977478,0.6404114234988739,0.8055232985197542,34714937593.73486,107005.2872137,0.031874018161295786,-0.05566646800432293,0.02174997722021048,-0.017569127288400856,0.010124040941085308,-0.03809734071592207,1.0,0.0,0.7047924288200209,0.6785315468477053
2025-06-27T00:00:00.000000+0000,0.06145865,0.057416665714285706,0.04529769733333334,1.058884743497592,1.2162279767355006,1.01748229,7291246706.062,7165969148.3879,125277557.67409992,1.0007458714285715,0.9932752336666667,0.5192367437594283,442897770.58359814,0.6659274334041888,-0.001120665,-0.001217089761904762,-1.1967521241274623,0.5983760620637312,0.7580444904593634,33769015905.689342,107095.1805081,-0.005034712778223908,-0.09007865483218651,0.03671442058978078,-0.0065462105556067995,-0.04174913336800468,-0.08353244427657971,0.0,0.0,0.6450569249406019,0.7331526368530248
2025-06-28T00:00:00.000000+0000,0.05164181,0.059195611428571424,0.047561126,0.895209614505521,1.069546365223247,1.0970202,2220778879.1783,2024373727.5474,196405151.6308999,1.0232233957142858,0.9984235386666666,2.10519706889904,1063530469.184998,1.7721965222719178,0.0015999066666666669,-0.0008038957142857143,-0.7958137921348635,-0.23874413764045904,-0.31566445463183784,34175124104.615753,107351.27740887,0.023899528460102844,-0.07635885922862297,0.05085162092638195,0.017344017745602944,-0.026952092466279106,-0.09370287697422591,1.0,0.0,0.916563371940178,0.8264502462470016
2025-06-29T00:00:00.000000+0000,0.02723407,0.05841691285714285,0.04693730433333333,0.478766859336888,0.6175267810167353,1.10289699,4910514011.2739,4452377726.473499,458136284.80040073,1.0388890528571428,1.0033622979999999,2.20231062338984,1630801972.0221992,1.7984697675046113,0.00756774,0.00012204285714285709,0.0748097995132064,0.02244293985396192,0.029921687079878766,35105265387.28991,108381.53511086,0.07015200162503007,-0.01055348065764484,0.07305134494287843,0.04191748607882024,-0.0028993433178483574,-0.05247096673646508,1.0,0.0,0.8393637292431553,0.6470399068310422
2025-06-30T00:00:00.000000+0000,0.02492849,0.05038777571428571,0.04604759766666667,0.435139097985063,0.5644403219103865,0.95894991,6677682344.456,6963536133.054,-285853788.5979996,1.026925972857143,1.0032701800000001,-0.6616828011146727,645773689.3828006,-0.8291478488565684,0.004753875,0.0012542683333333336,-0.33335529667238434,-0.1000065890017153,-0.1331448994070528,34111071948.36631,107209.79589187,0.049260926747690385,-0.049261246528861095,0.017026625057091887,0.02450775331906011,0.0322343016905985,-0.07376899984792121,0.0,0.0,-0.05792660055208407,-0.9358478749065823
2025-07-01T00:00:00.000000+0000,0.02899287,0.04671901857142857,0.045278305666666664,0.5010260774172225,0.644251886935913,0.94685407,6921821910.6814,7310336540.3955,-388514629.7140999,1.0211535685714286,1.0012651516666666,-0.899072206032858,365418107.73530054,-1.0732185781975065,-0.00223528,0.001081970238095238,-1.3447366791648372,0.6723683395824186,0.8409115727987839,33429032796.60678,105727.24617068,-0.0021893166021367282,-0.0675301087961681,-0.0037862019184191115,0.0005602013460971395,0.0015968853162823832,-0.06809031014226523,0.0,0.0,0.051107657451214816,-0.37209530007889124
2025-07-02T00:00:00.000000+0000,0.03557202,0.043863382857142856,0.044985644000000005,0.6118287515327469,0.773352185238627,1.07899329,10994581808.4947,10189666547.0039,804915261.490799,1.026851442857143,1.004841507,1.732651986692111,812049725.7598996,1.6388740015486212,0.0027981283333333336,0.0016732966666666669,-0.6092135611790762,-0.18276406835372286,-0.24248665335661887,37225935579.37866,108882.09039426,0.06305740633457256,0.05348306456642881,0.013886657090580281,0.028240858786042995,0.04917074924399228,0.025242205780385815,0.0,0.0,0.6053511579552506,-0.3349096971861065
2025-07-03T00:00:00.000000+0000,0.04019719,0.03857501428571428,0.044081858,0.6886367253752914,0.8586863686956916,1.06430919,8893811319.8724,8356416944.3926,537394375.4798002,1.0380722771428572,1.0064656863333332,1.4323129733526756,1447760212.7639003,1.4839645198745584,0.008235863333333334,0.003085652619047619,0.19327494504006834,0.0579824835120205,0.07727149528262402,38056842843.59664,109628.62005238,0.0962670677669576,0.07287715619678183,0.024515917923204688,0.04020704738498526,0.07175114984375291,0.032670108811796564,1.0,0.0,0.8401877648697407,0.13539533604971976
2025-07-04T00:00:00.000000+0000,0.04108007,0.035663788571428566,0.04365171266666667,0.7011028638995221,0.8721954360931121,0.92995809,7655732486.0204,8232341428.6026,-576608942.5822,1.02556882,1.00483714,-1.246586938783068,745873712.5076003,-1.3620873419216684,0.0060107,0.004104419047619047,-0.1362263328048696,-0.04086789984146088,-0.05447705426721071,36369432623.53472,108025.62761862,0.07700599641718506,0.046856540909411416,0.00868803905185648,0.031521112297846765,0.06831795736532857,0.015335428611564651,0.0,0.0,-0.08703476279256508,-0.7320916877331669
2025-07-05T00:00:00.000000+0000,0.04485291,0.03469394571428571,0.04312662133333334,0.7656070491687467,0.9405209222830123,1.0091954,2212700963.5066,2192539688.5535,20161274.953099728,1.01302242,1.008133925,0.33101353875071743,569629835.8298001,0.43432396635528325,0.0037757666666666666,0.004415256190476191,-0.4661035023174652,-0.13983105069523957,-0.1859032068897836,36217029496.03483,108222.04445033,0.059748294846522346,0.06989497705200082,0.008111380343836056,0.06503859429646926,0.05163691450268629,0.00485638275553156,0.0,0.0,0.3628517872402569,-0.5537115846999211
2025-07-06T00:00:00.000000+0000,0.01294826,0.03265311571428571,0.040056723333333336,0.2061490133855101,0.2731477978364901,1.04960267,4421438762.3344,4212488100.7849,208950661.5495,1.0054089457142859,1.0102636669999998,1.1451977227161934,320444212.5788994,1.2862269439475156,0.002695078333333333,0.0037191616666666662,-0.6261853900915819,-0.18785561702747458,-0.24917281361685362,36413102074.04393,109216.95147957,0.03725471584748456,0.027612843125627392,0.007708106070424939,0.046069996599302596,0.029546609777059623,-0.018457153473675204,0.0,0.0,0.3661251532952979,-0.4732385759478574
2025-07-07T00:00:00.000000+0000,0.00637337,0.030002384285714282,0.03815741666666667,0.09008120793167408,0.11996409508591756,0.95401815,6179225359.7343,6477052203.2241,-297826843.48980045,1.0047044085714285,1.0051605466666667,-0.7737238018457018,308471157.6870985,-0.9489284781405699,0.007792401666666667,0.0041532369047619045,0.1233229653657493,0.03699688960972479,0.049319185572057604,35937900574.08929,108269.77976411,0.05355529807120205,-0.002112108684972637,0.009887005785451581,0.024840185926316354,0.04366829228575047,-0.02695229461128899,0.0,0.0,-0.19384501317355857,-0.1359184126214745
2025-07-08T00:00:00.000000+0000,0.03218788,0.030458814285714286,0.037641453,0.540466376315713,0.690975738773233,0.99715474,5780859592.826,5797354562.8071,-16494969.981100082,1.0118902185714285,1.0030726643333334,0.09417327250456968,680490817.4200983,0.12539964810208576,0.00130218,0.004658588333333333,-0.8322233916605979,-0.24966701749817935,-0.3298489412004836,35584806584.42284,108999.56157337,0.06448806942553473,-0.012891501397771562,0.030950540387738493,0.030414031778266366,0.033537529037796235,-0.04330553317603793,1.0,0.0,0.3891652924774188,0.338057635026204
2025-07-09T00:00:00.000000+0000,0.04392542,0.03165215714285714,0.03795293533333333,0.7436943341439202,0.9176093815443973,1.09602191,10694691345.8545,9757734952.1538,936956393.7007008,1.0143228785714284,1.00125127,2.0664667227334492,812531949.6300001,1.7608454262719668,0.007774066666666667,0.005369436666666666,0.12000663996165925,0.036001991988497774,0.047993440578190674,38656692000.97816,111274.3859941,0.03843439793604714,0.021514889846300216,0.0219714334210295,0.008798555807619863,0.016462964515017636,0.012716334038680353,1.0,0.0,0.9226931871180395,0.31734202916278886
2025-07-10T00:00:00.000000+0000,0.01836049,0.02853262857142857,0.03778356733333334,0.2932387247243904,0.3860791495109019,1.10712272,14971552299.0132,13522938409.464,1448613889.5492,1.0204390971428572,1.005017124,2.265804486307978,1723751463.6994,1.814068363235145,0.007879905,0.005318585476190477,0.13392380353098646,0.040177141059295936,0.05355671441142753,39807572119.42232,116014.37206569,0.0460030087892656,0.09111701672945015,0.05824895004843543,0.052614321548775864,-0.012245941259169828,0.038502695180674285,1.0,0.0,0.7773743428237709,-0.06281342204596974
2025-07-11T00:00:00.000000+0000,0.04637206,0.029288627142857137,0.03858529,0.7819235014451241,0.9573782296021927,1.01742855,13400567277.6875,13171015589.4434,229551688.24410057,1.0329348771428573,1.0077284546666667,0.4835439186886571,2529912094.5257006,0.6232832866697995,0.010521963333333334,0.005963051666666668,0.5215611496759087,0.15646834490277262,0.2078710550431692,40639504325.14142,117565.78736277,0.11740825725291976,0.13377375949328735,0.08831385620670629,0.0820031039032713,0.02909440104621347,0.05177065559001605,1.0,0.0,0.674214948804583,0.761249711597148
2025-07-12T00:00:00.000000+0000,0.04483904,0.02928664571428571,0.03852416333333333,0.7542963363683021,0.928733472428223,0.94812734,4130166521.2118,4356130625.410299,-225964104.1984992,1.0242108685714286,1.0088628993333333,-0.8886640464790352,2283786715.3741016,-1.0633002943214116,0.00868037,0.006663709285714287,0.24825911234938303,0.0744777337048149,0.09922212079121337,40334986921.82571,117459.02529315,0.11370224126861998,0.1692605485672182,0.08535211924460959,0.1110676154445807,0.028350122024010396,0.0581929331226375,1.0,0.0,0.227678286266796,-0.1351735009734609
2025-07-13T00:00:00.000000+0000,0.03709064,0.03273555714285714,0.038122867666666664,0.6183447427991946,0.7807287225638389,1.03078112,6318837170.2886,6130144457.7656,188692712.52299976,1.0215220757142858,1.0094764296666667,0.758375817150127,2263528766.3476014,0.9329944752495648,0.010996005,0.007849555952380951,0.5865425666828394,0.17596277000485183,0.2335467071073787,41807045611.52996,119033.4097018,0.1481319423573899,0.23927983738853598,0.08988035363783492,0.12181071445521381,0.05825158871955499,0.11746912293332216,1.0,0.0,0.7024992416476497,0.3363740883523518
2025-07-14T00:00:00.000000+0000,0.01879988,0.03451077285714285,0.037143807666666674,0.2977295139540757,0.3918403936346584,1.0516806,15458129699.2184,14698502337.5013,759627361.7170982,1.0354738542857143,1.0120750356666666,1.1775788862783614,3320982971.5545,1.311194408930881,0.013705913333333332,0.008694343333333333,0.9828593907771576,0.29485781723314725,0.38815705999990147,43257659080.73163,119857.91595899,0.2036779664285616,0.28677715137762255,0.10703020011795852,0.13670216025714013,0.09664776631060307,0.15007499112048242,1.0,0.0,0.703574279323103,0.8974192924966615
2025-07-15T00:00:00.000000+0000,0.01999863,0.03276945142857142,0.03764501533333333,0.32050889443583597,0.42095818828410075,0.94983797,16926171602.3914,17820062150.7509,-893890548.3595009,1.0287143157142857,1.010512263,-0.8521631733397238,2443587393.1760993,-1.027938010376101,0.016951296666666667,0.010929931428571429,1.4519294864333356,0.4355788459300007,0.5649799076567437,42666685212.14598,117835.08689662,0.19901411044406855,0.26808806567616494,0.08106019139629865,0.11593487707481084,0.1179539190477699,0.1521531886013541,1.0,0.0,0.1540499400397165,-0.23511535243770232
2025-07-16T00:00:00.000000+0000,0.04320139,0.03266601857142857,0.03724820100000001,0.7295990109285767,0.9027079308999609,0.99963379,10657712482.7861,10661616879.4944,-3904396.708299637,1.0149445842857143,1.0092576116666667,0.14675480740764674,1502726602.767099,0.19505113094280493,0.01092373,0.011379883333333335,0.5639225726407924,0.1691767717922377,0.22461743186889577,42359094981.83771,118682.2136306,0.09577650826319713,0.21406934912261158,0.06657262199490173,0.11066646373719882,0.029203886268295398,0.10340288538541276,1.0,0.0,0.5532677767860239,-0.3694254103320156
2025-07-17T00:00:00.000000+0000,0.08066116,0.04156611428571428,0.03868488766666667,1.3797556404001137,1.4516406782504732,1.01571887,11060102384.2561,10888940571.4277,171161812.82839966,1.0018868914285715,1.0104198216666667,0.467358415375957,225274526.0462985,0.603733559963092,0.009502848333333333,0.01161173238095238,0.3536801327271123,0.10610403981813368,0.14123656855088174,42429067016.29163,119260.89294571,0.06585417691400162,0.24823115810306534,0.027983781855766547,0.13942436295551797,0.03787039505823508,0.10880679514754737,1.0,0.0,0.8076110787485473,0.03023673592477638
2025-07-18T00:00:00.000000+0000,0.08328186,0.04683894285714285,0.040545041333333344,1.4173997008291133,1.47496112698663,0.940017,10556144388.2194,11229737778.4246,-673593390.2052002,0.9908280985714286,1.008954446,-1.0468747763801596,-677870552.4030023,-1.206087285848765,0.010333556666666669,0.011584817142857144,0.4729924242746539,0.14189772728239616,0.1886346160243267,42174156334.92522,117998.63554546,0.037762567119559914,0.2576286369591517,0.0036817529350980796,0.12474789406727323,0.034080814184461836,0.1328807428918785,0.0,1.0,0.2692617090374468,-0.4049532397671362
2025-07-19T00:00:00.000000+0000,0.06294128,0.049424977142857145,0.042219166,1.0630100900142987,1.2196885570887745,0.88441662,3269211518.1423,3696460979.77,-427249461.62769985,0.9817265671428572,1.006423789,-2.141603054327827,-879155909.8322029,-1.782403137099252,0.008808671666666667,0.011603145952380952,0.24742043810163614,0.07422613143049084,0.09888747398773881,41648099435.67018,117900.51786752,0.032555173908682615,0.23795676133441052,0.003758694346970267,0.1257841045256906,0.028796479561712347,0.1121726568087199,0.0,1.0,0.03513890394998018,-0.19253938231681583
2025-07-20T00:00:00.000000+0000,0.04057473,0.04992270428571428,0.042932406000000006,0.67181248642822,0.8403013607801793,0.94390726,5182954626.2027,5490957487.4165,-308002861.21380043,0.9693160157142857,1.0059622516666666,-0.9508673410558716,-1375851483.569003,-1.121479497853086,0.01081469,0.011577243809523808,0.5394059270442786,0.16182177811328358,0.21492920990887404,41760669366.49447,117308.39966238,-0.0011092925691621185,0.23043018211873495,-0.014491814052386275,0.13558153606268497,0.013382521483224157,0.09484864605604998,0.0,0.0,0.003959915257113374,-0.6985393263905363
2025-07-21T00:00:00.000000+0000,0.04125903,0.053131154285714285,0.04300140066666667,0.6826044744618254,0.8521146673932114,0.96884716,9213113441.5357,9509356867.6988,-296243426.1630993,0.9574826671428571,1.0069345726666667,-0.45079983689213005,-2431722271.4492006,-0.5836010203066999,0.009596793333333334,0.010990226666666669,0.35962585321550233,0.1078877559646507,0.14360279654069694,42020256476.263435,117427.2806358,-0.028605399153912435,0.2589426350029771,-0.020279305740821107,0.14948467475722504,-0.008326093413091328,0.10945796024575205,0.0,0.0,0.13127456462239298,-0.5722997147007101
