start_time,reserve,reserve_7d_chg,reserve_30d_chg,reserve_90d_chg,reserve_zscore,sig_reserve_raw,reserve_align,sig_reserve,netflow_total,netflow_7d_sum,netflow_30d_sum,netflow_90d_sum,netflow_7d_avg,netflow_30d_avg,netflow_zscore,sig_netflow_raw,netflow_align,sig_netflow,exchange_whale_ratio,whale_ratio_30d_ma,whale_ratio_zscore,sig_whale,stable_reserve,stable_7d_chg,stable_30d_chg,stable_90d_chg,stable_zscore,sig_stable_raw,stable_align,sig_stable,fund_flow_ratio,ffr_30d_ma,ffr_zscore,sig_ffr,mpi,mpi_30d_ma,sig_mpi,composite_whale_score,whale_momentum
2025-06-23T00:00:00.000000+0000,2864452.30022069,-0.0011475335559136563,-0.025733294563038234,-0.043124604644401925,-2.0839477452072597,1.7660329122374325,0.5,2.0,-5340.38207267,-3290.8314733599955,-75658.74353706,-129095.56831468,-470.1187819085708,-2521.958117902,0.09719521424730841,-0.12941255134927268,0.5,0.37058744865072735,0.49050958,0.460651146,0.26983701434792134,-0.3559513096019052,53613287248.09607,-0.0014254611553559994,0.01754011118832728,0.05221740880832305,1.093555031016528,1.2449513023565788,0.0,1.2449513023565788,0.08984704,0.095508506,-0.3841393898808981,0.5012749980876834,-0.34974421349264095,-0.5735605479910986,1.7479858017596086,1.901845882121224,-0.39493712608510045
2025-06-24T00:00:00.000000+0000,2864595.31083988,-0.0006670246754353191,-0.025655264205379853,-0.04323751263429916,-2.064670091677252,1.7603062139190406,0.5,2.0,143.01061919,-1912.0311294099956,-75427.05044858,-129455.30116426,-273.14730420142797,-2514.235014952667,0.1810841585615503,-0.240279400951348,0.5,0.25972059904865197,0.52800015,0.464340617,0.7656543804848777,-0.9405700738695121,53938982525.476906,-0.00111512405141037,0.023840298549091202,0.06829144352282475,1.117284307695709,1.2641404120447617,0.0,1.2641404120447617,0.08706933,0.09619769333333332,-0.4643780119840828,0.6001196391980973,-0.19534634232169215,-0.5511094064731966,1.664459260786271,1.6798471809737747,-0.2792768336865279
2025-06-25T00:00:00.000000+0000,2861901.52347668,-0.0017671495446172076,-0.026075898773963012,-0.043010276253506424,-2.079714263082471,1.7647863961704802,0.5,2.0,-2693.7873632,-5066.3609914699955,-76624.71267862001,-128623.29874679999,-723.7658559242851,-2554.1570892873337,-0.011523174678782883,0.015363930672554624,0.5,0.5153639306725546,0.4423974,0.46411521066666667,-0.36502283228235965,0.4773121908803703,54021362731.75278,0.0009539751846402803,0.029794814966228666,0.04927299222786269,1.1191725642043622,1.2656510412347262,0.5,1.7656510412347262,0.10224393,0.09569442233333333,-0.020149603214256694,0.026864521761304366,-0.17521535262029417,-0.5432561346601318,1.651873824868016,2.26631860429667,0.49643982759904204
2025-06-26T00:00:00.000000+0000,2857885.36535974,-0.002216471489096641,-0.027435365987351565,-0.04419866734809691,-2.110333662587713,1.7736633905615726,0.5,2.0,-4016.15811694,-6348.492684459996,-80618.94110322002,-132155.83643524,-906.927526351428,-2687.2980367740006,-0.08812485550910329,0.11736480819204455,0.5,0.6173648081920445,0.51132358,0.465735073,0.5545776313414852,-0.7074907870813407,54136352201.30075,0.0026388710788275,0.02865229187699212,0.05714415987706685,1.124002968062414,1.2695044831221303,0.5,1.7695044831221303,0.11101824,0.09465382366666668,0.23514195340847022,-0.31097942097970943,-0.3373093928415124,-0.5457832827349177,1.742048958671282,1.9135004204465738,-0.09815135293819988
2025-06-27T00:00:00.000000+0000,2848181.42216487,-0.005584940913981687,-0.030810822991497375,-0.0469893199971149,-2.2084550509571663,1.800031871128167,0.5,2.0,-9703.94319487,-15996.263139569997,-90544.56624955,-140432.9574308,-2285.1804485099997,-3018.152208318333,-0.6726432845510532,0.8412133353437427,0.5,1.3412133353437428,0.50379618,0.46756216899999997,0.46091256935102215,-0.595912158742143,53605657712.09892,-0.0006342949135681567,0.021889229229443974,0.04921534112897888,1.070809576886282,1.2261995579675025,0.0,1.2261995579675025,0.14733961,0.09579927833333332,1.286606415274551,-1.3901803905890187,-0.21345903430156635,-0.5513481293930895,1.6754281767043326,1.916742444662542,-0.126695544955437
2025-06-28T00:00:00.000000+0000,2848008.08606087,-0.006065529426291924,-0.028605944408045272,-0.048286184212483624,-2.191165837734572,1.7956068908342846,0.5,2.0,-173.336104,-17380.09633809,-83869.11626083001,-144496.63417819,-2482.8709054414285,-2795.6372086943334,-0.7527659399980319,0.9271321981961368,0.5,1.4271321981961367,0.59083302,0.4723417966666667,1.623690723042626,-1.5882195025839212,53559630913.61894,-0.007254710057742378,0.033935098250364615,0.047812186629846744,1.0614465906086847,1.2183783670298132,0.0,1.2183783670298132,0.0730188,0.09369555466666668,-0.875187941549934,1.0503493728083213,-1.335030237210734,-0.5878720346877315,1.9628612423513525,2.2052558814637706,-0.24329385016418614
2025-06-29T00:00:00.000000+0000,2848663.35496395,-0.007362666808574128,-0.02882544610965297,-0.04908717099313658,-2.1645697043117127,1.7886186555860084,0.5,2.0,655.26890308,-21129.327329409996,-84551.21861886,-147051.15015962,-3018.4753327728567,-2818.373953962,-0.9768544863715682,1.1450033264574522,0.5,1.6450033264574522,0.38588033,0.47153504199999996,-1.1125004193911447,1.2603024697907117,53489149762.9872,-0.024473937133750664,0.03401752430830994,0.08103576795080078,1.049902873277218,1.2086533507826058,0.0,1.2086533507826058,0.05949688,0.092208897,-1.2704671719849387,1.3789749370666202,-1.1465208077545137,-0.6277951107740959,1.9460834639373004,3.2282000896015055,1.5552309521082943
2025-06-30T00:00:00.000000+0000,2843600.24305855,-0.007279596577863592,-0.030846096483629615,-0.0500935548893641,-2.205798743963108,1.799357968244973,0.5,2.0,-5063.1119054,-20852.057162139998,-90505.7154906,-149957.97280065002,-2978.8653088771425,-3016.8571830200003,-0.9547438547100243,1.125017862492749,0.5,1.625017862492749,0.41250902,0.4700655193333334,-0.7543448644843693,0.9287842232452727,53773215664.31278,0.002982999633591622,0.037641569610866454,0.08542326943807338,1.0705321673066108,1.225968686830704,0.5,1.725968686830704,0.12097612,0.09387041266666667,0.5160964154300737,-0.6622019401021582,-0.7157584822964995,-0.6172331614745077,1.874700522768188,2.8514345208023735,0.9495886386811494
2025-07-01T00:00:00.000000+0000,2844150.86327543,-0.007136940944881829,-0.030818164198245037,-0.049056032586306406,-2.1803762772384934,1.7927986381744112,0.5,2.0,550.62021688,-20444.447564449998,-90438.66183944001,-146720.27186699,-2920.63536635,-3014.622061314667,-0.9247034994186635,1.097329516536703,0.5,1.597329516536703,0.52970566,0.46869056333333337,0.8065445023461686,-0.9824843963904744,53657818043.18858,-0.0052126397110943004,0.03013253089506906,0.08726757725227816,1.0549091982500158,1.2128820876727036,0.0,1.2128820876727036,0.09102689,0.09495969633333333,-0.3574770400728729,0.46781285503512365,-0.6428962795914414,-0.5904419110027666,1.85575273156822,2.332497182973689,0.6526500019999144
2025-07-02T00:00:00.000000+0000,2841034.5286987,-0.007291304262849081,-0.026169010758342704,-0.049623162314314746,-2.1981224992256583,1.7973984016189783,0.5,2.0,-3116.33457673,-20866.99477798,-76344.93456019,-148342.33323857,-2980.9992539971427,-2544.8311520063335,-0.9456789462034783,1.1167276166412363,0.5,1.6167276166412363,0.45805745,0.46944780766666666,-0.14693240850213204,0.19528567741814565,53800249810.97341,-0.0040930644766833954,0.024770164372994046,0.10334477863934464,1.0627834392575854,1.2194987301796982,0.0,1.2194987301796982,0.15507176,0.09589444533333333,1.5013068511657317,-1.5239196184289066,0.03784424408964817,-0.5690658182011011,1.4904738092617977,2.2261099687665498,-0.04020863553012033
2025-07-03T00:00:00.000000+0000,2839304.7660858,-0.006501520144633662,-0.019824628544127053,-0.050342965558913,-2.199472759496379,1.797744399908863,0.5,2.0,-1729.7626129,-18580.599273939995,-57426.62379653001,-150516.46738386998,-2654.3713248485706,-1914.220793217667,-0.8005196760910283,0.9763778179075668,0.5,1.4763778179075668,0.43069626,0.467133756,-0.5086469979145252,0.6533437752674838,54299544532.00662,0.0030144685423032715,0.02595794225058441,0.1131226434885233,1.1031881949719533,1.252787262519043,0.5,1.752787262519043,0.08181112,0.095157437,-0.6317479052125134,0.7958233103098913,-0.4815484553479277,-0.5713888883717961,1.8035153895562577,2.9798959602629713,1.0663955398163976
2025-07-04T00:00:00.000000+0000,2839596.91877689,-0.0030140296966950867,-0.015685085964426734,-0.05083690202772697,-2.177788606979258,1.7921197288887065,0.5,2.0,292.15269109,-8584.503387979996,-45249.05712617001,-152087.99274486,-1226.3576268542852,-1508.301904205667,-0.18139984780945526,0.24069423409916935,0.5,0.7406942340991693,0.56492078,0.47003798966666666,1.2793051433195552,-1.385131803078335,53868111094.40401,0.0048960015324249605,0.01775394990485569,0.11454527153755494,1.0586020190457293,1.215990386561908,0.5,1.715990386561908,0.09013959,0.09524364566666668,-0.3904917544573876,0.5092042868501612,-0.04729278985578019,-0.5556779540207432,1.5615032437183938,1.8837461982083676,-0.03299624645417443
2025-07-05T00:00:00.000000+0000,2838883.41803183,-0.0032038771496820384,-0.015315792700219157,-0.05115507694221819,-2.1659491843895733,1.7889866019912573,0.5,2.0,-713.50074506,-9124.668029039996,-44156.034603110005,-153052.72352767998,-1303.5240041485708,-1471.8678201036669,-0.2198431405673606,0.29104325247338114,0.5,0.7910432524733811,0.49274702,0.4685182426666667,0.3161891279274279,-0.41545033882071664,53950112892.10056,0.0072906024896136935,0.029082079453230856,0.12499385768605516,1.0610065869951257,1.218009350125466,0.5,1.718009350125466,0.06803052,0.09379952400000001,-1.029558406076642,1.191292854543922,-1.4676890495989654,-0.6038260663259628,1.9714542087947007,2.41883874229584,0.21358286083206934
2025-07-06T00:00:00.000000+0000,2838032.9320511,-0.003731723123522461,-0.010647190996090456,-0.05271082792844898,-2.1559693874450834,1.7863110128966726,0.5,2.0,-850.48598073,-10630.422912849996,-30542.268042040007,-157919.11271347,-1518.6318446928565,-1018.0756014013335,-0.3182310973183075,0.4180547459807804,0.5,0.9180547459807804,0.47906871,0.4721564696666667,0.1358656680384607,-0.18066043515430666,54046534393.37367,0.010420517672392826,0.0228325032742959,0.13325700378934335,1.064723686942328,1.221122614737349,0.5,1.721122614737349,0.079766,0.09240872433333334,-0.6885137046414694,0.8585525724690986,-1.3030770646421452,-0.6514948805893963,1.9604346032333684,2.484963462005796,-0.7432366275957096
2025-07-07T00:00:00.000000+0000,2833761.54851124,-0.003459942926691973,-0.012277891222690986,-0.05594002936034226,-2.1851348852743655,1.7940416531164503,0.5,2.0,-4271.38353986,-9838.694547309997,-35225.10606423001,-167913.80754818,-1405.5277924728566,-1174.1702021410003,-0.2736563576995495,0.36088021783464685,0.5,0.8608802178346469,0.44221748,0.47455907166666667,-0.351236094213865,0.4599392513896004,53843275625.699,0.0013028784036940404,0.019821772870603296,0.12465569899645867,1.0409231686025955,1.2010255526222868,0.5,1.7010255526222868,0.12345204,0.094190099,0.5839115829055338,-0.7414690318080333,-0.5650786486160854,-0.6346736565679637,1.8324788206344342,2.2969315078861703,-0.5545030129162032
2025-07-08T00:00:00.000000+0000,2832638.46912291,-0.004047743845508294,-0.014074360851266794,-0.05561981144888352,-2.1781659970416216,1.7922188729291775,0.5,2.0,-1123.07938833,-11512.394152519995,-40436.696635700006,-166829.86308426003,-1644.627736074285,-1347.8898878566667,-0.38095316978087584,0.497291464024942,0.5,0.997291464024942,0.50023798,0.47809567466666664,0.43041654436125065,-0.558639973089345,53686718160.43406,0.0005386003065241002,0.01999154802143651,0.11312454427397504,1.0214744194418368,1.1843160840113747,0.5,1.6843160840113747,0.0865365,0.09520099933333334,-0.49543961601666947,0.6375681907087233,-1.0047672159212315,-0.6256155042210074,1.928725688978406,2.3496073412265055,0.017110158252816365
2025-07-09T00:00:00.000000+0000,2831445.94063332,-0.0033750339774195432,-0.013964306174375841,-0.05627729472273082,-2.172011337626994,1.790596392048007,0.5,2.0,-1192.52848959,-9588.588065379996,-40099.13462442,-168848.45177661,-1369.798295054285,-1336.6378208140002,-0.2635600987219863,0.3478411938888017,0.5,0.8478411938888017,0.40980577,0.4747965996666667,-0.7804495839229113,0.955862611537531,54048168330.47497,0.004608129523052689,0.013706419972702647,0.11111207388689116,1.0499296702477874,1.2086760311102382,0.5,1.7086760311102382,0.09455577,0.09473645966666668,-0.26147039825426405,0.34513855356687806,-0.5735157494146969,-0.6338969185196681,1.8351663804547345,2.6593431765430537,0.433233207776504
